year,category,nominee,movie,winner
2017,Best Picture,"Graham Broadbent, Pete Czernin and Martin McDonagh, Producers","Three Billboards outside Ebbing, Missouri",False
2017,Writing (Adapted Screenplay),Screenplay by James Ivory,Call Me by Your Name,True
2017,Writing (Adapted Screenplay),Screenplay by Scott Neustadter & Michael H. Weber,The Disaster Artist,False
2017,Writing (Adapted Screenplay),Screenplay by Scott Frank & James Mangold and Michael Green; Story by James Mangold,Logan,False
2017,Writing (Adapted Screenplay),Written for the screen by Aaron Sorkin,Molly's Game,False
2017,Writing (Adapted Screenplay),Screenplay by Virgil Williams and Dee Rees,Mudbound,False
2017,Writing (Original Screenplay),Written by Emily V. Gordon & Kumail Nanjiani,The Big Sick,False
2017,Writing (Original Screenplay),Written by Jordan Peele,Get Out,True
2017,Writing (Original Screenplay),Written by Greta Gerwig,Lady Bird,False
2017,Writing (Original Screenplay),Screenplay by Guillermo del Toro & Vanessa Taylor; Story by Guillermo del Toro,The Shape of Water,False
2017,Writing (Original Screenplay),Written by Martin McDonagh,"Three Billboards outside Ebbing, Missouri",False
2018,Actor In A Leading Role,Christian Bale,Vice,False
2018,Actor In A Leading Role,Bradley Cooper,A Star Is Born,False
2018,Actor In A Leading Role,Willem Dafoe,At Eternity's Gate,False
2018,Actor In A Leading Role,Rami Malek,Bohemian Rhapsody,True
2018,Actor In A Leading Role,Viggo Mortensen,Green Book,False
2018,Actress In A Leading Role,Yalitza Aparicio,Roma,False
2018,Actress In A Leading Role,Glenn Close,The Wife,False
2018,Actress In A Leading Role,Olivia Colman,The Favourite,True
2018,Actress In A Leading Role,Lady Gaga,A Star Is Born,False
2018,Actress In A Leading Role,Melissa McCarthy,Can You Ever Forgive Me?,False
2018,Directing,Spike Lee,BlacKkKlansman,False
2018,Directing,Pawel Pawlikowski,Cold War,False
2018,Directing,Yorgos Lanthimos,The Favourite,False
2018,Directing,Alfonso Cuarón,Roma,True
2018,Directing,Adam McKay,Vice,False
2018,Best Picture,"Kevin Feige, Producer",Black Panther,False
2018,Best Picture,"Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele and Spike Lee, Producers",BlacKkKlansman,False
2018,Best Picture,"Graham King, Producer",Bohemian Rhapsody,False
2018,Best Picture,"Ceci Dempsey, Ed Guiney, Lee Magiday and Yorgos Lanthimos, Producers",The Favourite,False
2018,Best Picture,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly and Nick Vallelonga, Producers",Green Book,True
2018,Best Picture,"Gabriela Rodríguez and Alfonso Cuarón, Producers",Roma,False
2018,Best Picture,"Bill Gerber, Bradley Cooper and Lynette Howell Taylor, Producers",A Star Is Born,False
2018,Best Picture,"Dede Gardner, Jeremy Kleiner, Adam McKay and Kevin Messick, Producers",Vice,False
2018,Writing (Adapted Screenplay),Written by Joel Coen & Ethan Coen,The Ballad of Buster Scruggs,False
2018,Writing (Adapted Screenplay),Written by Charlie Wachtel & David Rabinowitz and Kevin Willmott & Spike Lee,BlacKkKlansman,True
2018,Writing (Adapted Screenplay),Screenplay by Nicole Holofcener and Jeff Whitty,Can You Ever Forgive Me?,False
2018,Writing (Adapted Screenplay),Written for the screen by Barry Jenkins,If Beale Street Could Talk,False
2018,Writing (Adapted Screenplay),Screenplay by Eric Roth and Bradley Cooper & Will Fetters,A Star Is Born,False
2018,Writing (Original Screenplay),Written by Deborah Davis and Tony McNamara,The Favourite,False
2018,Writing (Original Screenplay),Written by Paul Schrader,First Reformed,False
2018,Writing (Original Screenplay),"Written by Nick Vallelonga, Brian Currie, Peter Farrelly",Green Book,True
2018,Writing (Original Screenplay),Written by Alfonso Cuarón,Roma,False
2018,Writing (Original Screenplay),Written by Adam McKay,Vice,False
2019,Actor In A Leading Role,Antonio Banderas,Pain and Glory,False
2019,Actor In A Leading Role,Leonardo DiCaprio,Once upon a Time...in Hollywood,False
2019,Actor In A Leading Role,Adam Driver,Marriage Story,False
2019,Actor In A Leading Role,Joaquin Phoenix,Joker,True
2019,Actor In A Leading Role,Jonathan Pryce,The Two Popes,False
2019,Actress In A Leading Role,Cynthia Erivo,Harriet,False
2019,Actress In A Leading Role,Scarlett Johansson,Marriage Story,False
2019,Actress In A Leading Role,Saoirse Ronan,Little Women,False
2019,Actress In A Leading Role,Charlize Theron,Bombshell,False
2019,Actress In A Leading Role,Renée Zellweger,Judy,True
2019,Directing,Martin Scorsese,The Irishman,False
2019,Directing,Todd Phillips,Joker,False
2019,Directing,Sam Mendes,1917,False
2019,Directing,Quentin Tarantino,Once upon a Time...in Hollywood,False
2019,Directing,Bong Joon Ho,Parasite,True
2019,Best Picture,"Peter Chernin, Jenno Topping and James Mangold, Producers",Ford v Ferrari,False
2019,Best Picture,"Martin Scorsese, Robert De Niro, Jane Rosenthal and Emma Tillinger Koskoff, Producers",The Irishman,False
2019,Best Picture,"Carthew Neal, Taika Waititi and Chelsea Winstanley, Producers",Jojo Rabbit,False
2019,Best Picture,"Todd Phillips, Bradley Cooper and Emma Tillinger Koskoff, Producers",Joker,False
2019,Best Picture,"Amy Pascal, Producer",Little Women,False
